James Smart          2
Nikolay Borisov      1
Xin Long             1
Jon Paul Maloy       1
Girish Moodalbail    1
Florian Fainelli     1
Linus Torvalds       1
Martin Wilck         1
Max Gurtovoy         1
Name: author, dtype: int64
